    SDSSID            arrloc redshift ebmv   ha_sfr oha_sfr_cor 2_sfr  nuv_sfr  fuv_sfr  L_fuv(ergs/s)  o3_sig  sig_stars
    587739408388980778  179   0.194   0.039   18.53   20.38    13.21     9.74    13.39  1.875E+44  112.774  450.000
    588017977277874181  184   0.247   0.091   19.40   24.18    13.16     6.59    11.12  1.557E+44   98.023  446.473
    587739406242742472  187   0.342   0.040   14.16   15.61     6.97   -99.00   -99.00 -9.900E+01  121.736  377.202
    587739828742389914  192   0.149   0.035    8.21    8.94     3.10     2.03     3.23  4.529E+43   49.261  372.513
    587739652107600089  195   0.233   0.046    6.52    7.29     3.56   -99.00   -99.00 -9.900E+01   85.791  256.235
    587739721387409964  197   0.292   0.157    6.77    9.89     5.10   -99.00   -99.00 -9.900E+01   72.646  450.000
    587741600420003946  200   0.343   0.199   11.38   18.45     8.27   -99.00     7.60  1.064E+44   88.781  450.000
    587741421099286852  203   0.297   0.000    4.53    4.53     3.19   -99.00     4.07  5.707E+43   85.110    6.903
    587741532770074773  205   0.237   0.048    6.68    7.50     4.34   -99.00   -99.00 -9.900E+01   87.097  163.542
    587741817851084830  208   0.262   0.182   16.85   26.17     9.61    13.15    12.29  1.721E+44  117.973  144.748
    587741391573287017  210   0.237   0.463    1.03    3.15     1.13   -99.00   -99.00 -9.900E+01   73.775   27.801
    587741392649781464  213   0.222   0.078    3.74    4.51     1.37     2.94     2.45  3.426E+43   69.504  173.057
    587739648351076573  215   0.256   0.127    4.53    6.17     3.04   -99.00   -99.00 -9.900E+01   83.639  135.804
    587741490367889543  216   0.192   0.100    9.99   12.74     6.79     2.45     3.99  5.581E+43   83.066  162.367
    587741532781215844  217   0.280   0.256    2.46    4.57     2.26     5.69     5.76  8.060E+43   69.460   71.839
    587742014876745993  219   0.288   0.179    8.03   12.38     5.47   -99.00     6.15  8.609E+43   64.418  211.263
    588023240745943289  220   0.317   0.297    7.01   14.38     3.77     3.28     3.19  4.473E+43   62.674  281.897
    587745243087372534  227   0.301   0.093   14.96   18.73     6.34     5.86     6.92  9.696E+43   95.500   79.454
    587742628534026489  229   0.299   0.141   10.06   14.14     9.60   -99.00   -99.00 -9.900E+01   83.470  450.000
    587744874785145599  230   0.330   0.537    5.91   21.67     1.53   -99.00   -99.00 -9.900E+01   70.119  269.479
    587742013825941802  240   0.283   0.140    6.91    9.70     5.34    10.24     7.70  1.078E+44  112.476  450.000
    587742062151467120  241   0.274   0.202    5.42    8.83     3.05     5.02     2.73  3.819E+43   54.611    6.903
    587741727655919734  242   0.312   0.082    5.90    7.20     3.50    10.74     7.04  9.864E+43   68.533  117.932
