       SDSSID          z      BPT Type     F_Ha     Ha_s/n       F_Hb    Hb_s/n      F_NII   NII_s/N      FOIII  OIII_S/N      F_SII   SII_S/N       F_OI    OI_S/N
  587736915687375248   0.297    SB         154.3     51.74      138.6     62.74       10.6      3.21      481.6    192.08       16.8      2.72        6.7      2.11
  587738410863493299   0.144    SB        1819.9    484.54      650.4    233.76       44.9     11.16     4534.7   1480.84       62.1      9.89       16.0      4.14
  587735349111947338   0.196    SB         863.6    162.46      359.9     91.41       74.8      8.90     1957.5    306.43       59.8      4.15       15.5      1.93
  587738570859413642   0.192    SB        1811.7    236.04      574.4    101.03      107.1     13.60     3800.4    634.32       94.4      7.62       26.5      3.52
  587736940372361382   0.191    SB         263.8    101.53       70.7     36.74       11.0      4.64      372.5    206.21        0.0      0.00        1.9      0.84
  587739153352229578   0.265    SB         271.4     59.26       83.0     24.46       17.8      3.58      400.0    105.74       30.2      3.13        4.2      0.88
  587738947196944678   0.141    SB         910.4    260.80      314.3    121.55       14.3      4.54     2045.1    855.01       29.3      5.07        4.7      1.56
  587738371672178952   0.216    SB        2352.7    280.05      693.3    111.41      203.5     21.40     3883.8    537.00      192.2     13.40       56.0      6.16
  588017978880950451   0.321    SB         129.0     41.98       40.3     17.72       12.1      3.35      160.8     58.31       22.4      4.05        5.1      1.47
  587739408388980778   0.194    SB        2172.4    291.55      730.0    132.27      166.3     21.77     3601.8    620.05      181.0     13.85       47.2      6.46
  588017977277874181   0.247    SB        1329.5    253.38      422.1    108.60       57.9      9.87     2447.9    548.36       92.9      8.82       25.8      4.59
  587739406242742472   0.342    SB         458.4     74.17      153.9     33.61       24.1      3.20      926.9    161.53       25.9      2.31        0.4      0.05
  587739828742389914   0.149    SB        1738.1    464.29      586.7    211.56       37.3     10.70     3932.6   1483.92       66.5     11.96       18.3      5.48
  587739652107600089   0.233    SB         508.4    132.71      169.6     59.76       22.7      5.51      992.4    315.94       36.0      3.66        6.8      1.71
  587739721387409964   0.292    SB         315.4    112.04       93.2     44.68       20.6      6.63      457.8    193.36       30.8      6.28        8.3      2.79
  587741600420003946   0.343    SB         366.9     94.20      103.4     35.85       47.1     11.36      383.4    121.51       39.9      5.04        8.3      2.10
  587741421099286852   0.297    SB         202.9     84.13       87.1     48.77       13.5      3.73      463.8    169.14       11.8      2.08        2.6      0.76
  587741532770074773   0.237    SB         504.3    167.17      167.9     75.14       27.1      7.88      979.2    374.31       41.3      6.93        7.6      2.32
  587741817851084830   0.262    SB        1007.1    144.70      289.4     56.13      137.8     19.22     1012.8    185.74       91.4      7.70       11.4      1.67
  587741391573287017   0.237    SB          77.6     23.38       16.4      6.66       18.0      4.72       27.2      9.39       21.4      2.78        3.5      0.96
  587741392649781464   0.222    SB         326.1    129.46      105.1     56.32       11.0      3.75      748.2    335.14       17.3      3.10        3.4      1.20
  587739648351076573   0.256    SB         287.3    121.10       87.7     49.89       30.3     11.61      389.1    196.30       28.5      6.86        9.4      3.77
  587741490367889543   0.192    SB        1199.0    332.12      376.8    140.90       77.5     20.60     1974.7    689.84      105.3     17.51       22.8      6.32
  587741532781215844   0.280    SB         126.2     44.61       33.4     15.95       10.2      3.02      160.9     63.02       13.8      2.35        5.5      1.73
  587742014876745993   0.288    SB         386.0    126.76      111.3     49.33       18.0      4.94      763.3    275.41       30.6      4.17        6.8      1.95
  588023240745943289   0.317    SB         269.7    106.07       68.3     36.27       15.1      5.38      367.8    172.19       29.3      7.07        4.7      1.76
  587745243087372534   0.301    SB         649.8    109.52      205.9     46.85       29.1      4.57     1240.9    256.46       34.4      2.82        9.6      1.58
  587742628534026489   0.299    SB         443.9     94.13      133.5     38.21       45.4      9.00      518.4    135.07       56.6      6.34       17.1      3.53
  587744874785145599   0.330    SB         207.2     77.81       40.3     20.44        9.7      3.90      216.2    113.84        9.8      2.15        0.0      0.00
  587742013825941802   0.283    SB         346.2     67.58      104.1     27.44       45.2      7.90      408.0     93.89       28.1      2.15        5.3      0.96
  587742062151467120   0.274    SB         292.6    142.99       82.3     54.28        9.0      4.05      596.0    351.16       19.9      4.42        1.6      0.76
  587741727655919734   0.312    SB         236.7     99.89       75.9     43.22        9.7      3.82      454.8    236.69       17.5      4.61        3.6      1.48
