objid,ra,raerr,dec,decerr,type,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,z,zerr,zConf,SpecClass,objTypename,run,rerun,camcol,field,obj,mjd,plate,fiberID,sn_0,sn_1,sn_2,velDisp,velDispErr,petroRad_r,ew
588013384341913605,141.50167785,0.04353318035764,44.46004356,0.0445099911451674,3,19.3041648864746,0.0326690375804901,19.150634765625,0.0171819683164358,18.7849788665771,0.0141019085422158,19.0108890533447,0.0193361435085535,19.5969905853271,0.0594559758901596,0.0963780283927917,0.0709140375256538,0.0514327734708786,0.0389999151229858,0.0276514273136854,0.180684000253677,0.000689139007590711,0.999898016452789,2,QSO,2830,41,6,224,5,52325,870,321,7.69118022918701,8.27696990966797,7.1881799697876,-9999,-9999,1.4604457616806,651.504455566406
587732134315425958,195.3680099,0.047874476706584,51.08089252,0.055919740652714,6,20.0445919036865,0.0481837578117847,20.0221195220947,0.0337385721504688,19.6282501220703,0.0199354067444801,20.1124839782715,0.0574338473379612,19.4650573730469,0.101252041757107,0.0371155440807343,0.0273092649877071,0.019806956872344,0.0150190163403749,0.0106486696749926,0.347855001688004,0.00081766297807917,0.972550988197327,2,SERENDIPITY_DISTANT,2883,40,1,244,166,52376,887,256,4.9382700920105,5.07137012481689,3.51777005195618,-9999,-9999,1.76471889019012,554.42919921875
587729777439801619,204.29952947,0.0582289118540088,-2.43484168,0.0522561985223768,6,21.624153137207,0.16953556239605,21.0341358184814,0.0580298155546188,20.4322357177734,0.0367288328707218,20.8235912322998,0.0667574629187584,20.2064819335938,0.161773532629013,0.361829310655594,0.266230583190918,0.193092614412308,0.146416291594505,0.103810973465443,0.273745000362396,5.25362993357703E-05,0.900880992412567,2,SERENDIPITY_DISTANT,2334,40,3,56,275,52427,912,232,1.84859001636505,2.39997005462646,1.9157999753952,-9999,-9999,1.33658862113953,399.213745117188
587729777446945029,220.63071305,0.0476689611424695,-2.1644664,0.0448150364246149,6,20.4056167602539,0.0742020830512047,20.3460178375244,0.0303192846477032,19.5076026916504,0.019955612719059,20.7831859588623,0.0508722886443138,19.8068675994873,0.0951002687215805,0.277216672897339,0.203973397612572,0.147938519716263,0.112177297472954,0.0795351043343544,0.293810993432999,0.000778072979301214,0.991225004196167,2,SERENDIPITY_DISTANT,2334,40,3,165,261,52411,920,275,3.24404001235962,2.84948992729187,1.7443300485611,-9999,-9999,1.3060884475708,1456.63549804688
587729970180522426,226.86833829,0.0499425366162385,-2.5642315,0.0470008137775052,6,21.9359378814697,0.207899749279022,21.5291614532471,0.0536288619041443,20.4669570922852,0.0344188325107098,21.4730110168457,0.07680294662714,21.8240909576416,0.370845645666122,0.478765666484833,0.352271229028702,0.255496472120285,0.193735241889954,0.137360692024231,0.253435999155045,0.000110433000372723,0.80401599407196,2,SERENDIPITY_DISTANT,2379,40,2,118,442,52426,922,53,0.993164002895355,1.12133002281189,0.865945994853973,-9999,-9999,1.20117056369781,1243.40063476563
587732152555864324,116.99168189,0.0895398400094034,23.60911264,0.0893402468458647,6,20.9168071746826,0.0913181453943253,20.3699703216553,0.0291627123951912,19.4984188079834,0.0223838686943054,19.6872806549072,0.030600668862462,20.0885829925537,0.108418792486191,0.307005435228348,0.225891679525375,0.163835495710373,0.124231487512589,0.0880816727876663,0.155220001935959,0.000684964004904032,0.999638974666595,2,QSO,2887,40,3,43,260,52577,927,589,3.92873001098633,4.21235990524292,3.5585401058197,-9999,-9999,1.73470532894135,874.857421875
587732156853846376,122.07043518,0.0755408954875492,28.2419767,0.0751693252556887,6,20.7031860351563,0.0648774728178978,20.6382179260254,0.0325695313513279,20.1896381378174,0.026830617338419,20.7002182006836,0.0542726889252663,20.0719833374023,0.114780090749264,0.185613021254539,0.136572301387787,0.0990536212921143,0.0751093626022339,0.0532534755766392,0.326213002204895,0.000344697007676587,0.949999988079071,2,SERENDIPITY_DISTANT,2888,40,3,89,360,52618,930,218,4.09893989562988,3.40821003913879,2.36040997505188,-9999,-9999,1.51396071910858,549.781799316406
587732153639829774,137.32651772,0.0615255919034567,39.49021551,0.0637982599297128,6,21.8642673492432,0.183616802096367,21.560453414917,0.0634588226675987,20.4693489074707,0.0454787127673626,21.9899578094482,0.189314186573029,21.3098964691162,0.315971821546555,0.0956555008888245,0.0703824087977409,0.0510471947491169,0.0387075431644917,0.0274441298097372,0.281776994466782,0.000872574979439378,0.88630199432373,2,SERENDIPITY_DISTANT,2887,40,5,199,270,52707,937,474,0.982611000537872,0.883702993392944,0.817215979099274,-9999,-9999,1.71878266334534,2473.0927734375
587732152033345685,149.07635779,0.0661837515758081,43.12439466,0.0727474929308081,6,20.2843399047852,0.0814667940139771,19.9766101837158,0.0437837913632393,19.460958480835,0.0477497950196266,20.0313854217529,0.0373533107340336,19.3218212127686,0.0754143372178078,0.0630832388997078,0.0464160479605198,0.0336647890508175,0.0255269911140203,0.0180989541113377,0.275871008634567,0.000745059980545193,0.998579978942871,2,SERENDIPITY_DISTANT,2887,40,2,262,149,52703,942,244,3.64368009567261,3.99261999130249,3.14364004135132,-9999,-9999,1.97061765193939,576.581848144531
587732582590185717,156.96441673,0.0386718993072548,57.24466027,0.0430604599787203,6,21.3796234130859,0.125391885638237,20.9828510284424,0.0452455468475819,20.4060821533203,0.0291294362396002,20.8920421600342,0.0507967546582222,20.8230838775635,0.240731209516525,0.0437756329774857,0.0322096943855286,0.0233611576259136,0.0177140589803457,0.0125594884157181,0.260408997535706,0.000114321002911311,0.791006982326508,2,SERENDIPITY_DISTANT,2987,40,4,54,245,52411,947,488,1.94924998283386,2.1306300163269,1.79930996894836,-9999,-9999,1.43233942985535,511.119720458984
587732590643445978,189.49847551,0.0447364985593027,59.77185257,0.0533288916277435,6,20.9301795959473,0.0872981548309326,20.7312259674072,0.0576569847762585,20.3035278320313,0.0349419079720974,20.6752948760986,0.0600667968392372,20.2467441558838,0.135433733463287,0.0545131415128708,0.0401102527976036,0.0290913004428148,0.0220590513199568,0.0156401433050632,0.30315500497818,8.29244017950259E-05,0.719214022159576,2,SERENDIPITY_DISTANT,2989,40,3,57,218,52401,956,147,1.76936995983124,2.09596991539001,1.54912996292114,-9999,-9999,1.66336500644684,515.439392089844
