objid,ra,raerr,dec,decerr,type,clean,mode,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,specObjID,bestObjID,Sourcetype,class,subclass,z,zerr,zwarning,mjd,plate,fiberID
1237648703520571445,222.718405836895,0.00309673138122508,-0.725052256536204,0.00307946421023657,6,1,1,19.79422,0.03141447,18.71726,0.01615598,18.17238,0.01465795,17.98037,0.01613461,17.85721,0.02355463,0.2000654,0.1558896,0.1078437,0.08013944,0.05960901,1.185244,3303406622084196352,1237648703520571445,NONLEGACY,STAR,G0,0.0003698612,1.380584E-05,0,54626,2934,59
1237648703520571896,222.726743803248,0.0311394113734292,-0.718976445129466,0.0292418623510638,6,1,1,21.86617,0.1201854,21.56848,0.04132954,21.22281,0.04811019,21.72251,0.09300222,21.13453,0.1936783,0.2003242,0.1560913,0.1079832,0.08024311,0.05968613,1.289987,4525111662345166848,1237648703520571896,QSO,GALAXY,null,0.3522533,1.309922E-05,0,55363,4019,436
1237648704041976118,187.38809110119,0.0216283200885914,-0.300467289564774,0.019198536288688,6,1,1,20.82472,0.06329563,20.63244,0.02938542,20.29195,0.02889238,20.52881,0.04960841,20.68145,0.2020491,0.1057719,0.08241671,0.0570155,0.04236863,0.03151447,1.625943,4269639033586425856,1237648704041976118,QSO,GALAXY,STARBURST,0.2511114,1.433933E-05,0,55212,3792,824
1237648704046104604,196.805786766,0.126379186145472,-0.407797248599403,0.143565296617156,3,0,1,22.32621,0.5083333,24.09666,0.4164672,21.32106,0.06208524,22.77718,0.3032539,21.61572,0.3959177,0.07755595,0.06043107,0.04180593,0.03106629,0.02310761,2.565196,331061884931303424,1237648704046104604,GALAXY,QSO,null,0.3045104,0.2919239,0,51986,294,172
1237648704601456931,239.007080384272,0.204385082909949,0.01521366485957,0.163285278144569,3,0,1,23.74758,0.4888781,24.02257,0.3683781,22.54211,0.1622232,23.00364,0.3009091,22.95335,0.5563877,0.5680078,0.4425878,0.3061802,0.2275247,0.1692366,1.603435,386319486120126464,1237648704601456931,GALAXY,QSO,null,0.2898876,2.025242E-05,4,51692,343,494
1237648705122140310,202.036260256645,0.0114460221916452,0.508449040395359,0.00763744910285875,3,1,1,20.98018,0.0615834,19.72718,0.02319259,18.99805,0.01950264,18.55803,0.01932123,18.34331,0.02646496,0.1171092,0.09125067,0.06312679,0.04690997,0.0348924,4.739733,334541289024415744,1237648705122140310,GALAXY,GALAXY,STARFORMING,0.08599669,1.255124E-05,0,51959,297,542
1237648705122140311,202.038072283119,0.0155666169276943,0.509923313916684,0.0135406366837377,6,1,1,21.0799,0.07093518,20.85759,0.04120064,20.37303,0.03536621,20.83967,0.09879842,20.15494,0.1125053,0.1171744,0.09130147,0.06316193,0.04693609,0.03491183,1.293016,4560135509695766528,1237648705122140311,QSO,GALAXY,STARBURST,0.3208568,9.600458E-06,0,55599,4050,876
1237648720155902209,177.443628415083,0.0473606473110499,-1.03823706142234,0.0355439452715035,6,1,1,22.09085,0.1535017,21.75489,0.05692296,21.45537,0.05944571,21.73619,0.1180139,21.24192,0.2708149,0.08491115,0.06616219,0.04577069,0.03401253,0.02529907,1.395968,4267379537124237312,1237648720155902209,QSO,GALAXY,null,0.3409777,1.329241E-05,0,55208,3790,796
1237648720174711098,220.52252045457,0.0103077586757034,-0.880160035795032,0.0105628804924255,6,1,1,20.1597,0.03976788,19.98486,0.01961246,19.45858,0.02018754,20.09628,0.03162749,19.46925,0.06329165,0.1743723,0.1358697,0.09399402,0.06984763,0.0519538,1.548321,346852790615697408,1237648720174711098,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2823173,8.916592E-06,0,51662,308,275
1237648720674292261,135.345049431114,0.0182224423617419,-0.471903500696594,0.0172801511449078,6,1,1,21.5668,0.1229957,21.20079,0.04395288,20.46167,0.02895614,20.76481,0.05069807,21.28259,0.2993531,0.1509549,0.117623,0.08137108,0.06046743,0.04497666,1.344972,529240608544417792,1237648720674292261,SERENDIPITY_DISTANT,GALAXY,null,0.1873612,1.082821E-05,0,51929,470,246
1237648720674291912,135.356143535632,0.00213664894667185,-0.462400292795672,0.00231254911620006,6,1,1,18.66231,0.01868461,17.75725,0.019458,17.41543,0.01152971,17.32846,0.01310696,17.25236,0.01880118,0.1533157,0.1194626,0.08264367,0.0614131,0.04568006,1.17556,4298813480486543360,1237648720674291912,STD,STAR,F0IV (81937),0.000842072,8.849868E-06,0,55532,3818,464
1237648721213063568,139.573735688018,0.0273866650296035,-0.149368487051834,0.0248873251518224,6,1,1,21.41219,0.1182865,20.94692,0.04238664,20.71496,0.04446248,21.15231,0.08128297,20.77413,0.2379758,0.125791,0.09801548,0.06780665,0.05038761,0.03747913,1.590917,4302096072501600256,1237648721213063568,QSO,GALAXY,STARBURST,0.3558804,1.355991E-05,0,55535,3821,118
1237648721228005666,173.748341769844,0.0152885163555513,-0.0178402325157867,0.0121474558593107,3,1,1,21.24618,0.07433724,20.84019,0.03013661,20.26801,0.02428937,20.56376,0.04337088,21.1239,0.2180826,0.09368045,0.07299517,0.05049772,0.03752522,0.02791187,1.41319,317639316354394112,1237648721228005666,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2408977,8.376998E-06,0,51658,282,493
1237648721244324236,210.97657306093,0.0145939463635893,-0.189251726888676,0.0141644867014556,6,1,1,21.11015,0.06906883,20.58721,0.02775395,20.15767,0.02809874,20.5675,0.03976269,19.76774,0.07987489,0.2119463,0.1651471,0.114248,0.08489852,0.06314891,1.429199,338906075023566848,1237648721244324236,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3375096,8.103889E-06,0,51942,301,37
1237648721237508405,195.546461671313,0.0260498185783421,-0.0879159631937052,0.0208926444526671,3,1,1,21.4995,0.1128225,21.0889,0.03692443,20.29185,0.0306627,20.51276,0.04417947,20.67319,0.1625484,0.08945701,0.0697043,0.04822111,0.03583345,0.02665351,1.741626,329907392739305472,1237648721237508405,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2254775,8.884802E-06,0,51689,293,68
1237648721255203367,235.905440640431,0.0286343976351228,-0.102234541782564,0.0228038055048397,3,1,1,21.15293,0.07453785,20.91261,0.02860904,20.43587,0.02946452,20.91699,0.06006963,20.50398,0.1530362,0.40165,0.3129629,0.2165063,0.1608874,0.1196707,1.811596,385145482562791424,1237648721255203367,SERENDIPITY_DISTANT,GALAXY,null,0.3489664,7.588395E-06,0,51691,342,319
1237648721771954189,189.898995796453,0.00151101474558744,0.389035448227189,0.00143467432638737,6,1,1,18.12966,0.0279058,16.82633,0.01513872,16.30073,0.01362597,16.10629,0.01716682,16.08572,0.01686563,0.06801214,0.0529946,0.03666142,0.02724336,0.02026406,1.43403,3259641110506530816,1237648721771954189,NONLEGACY,STAR,F9,0.0002187229,8.094989E-06,0,54567,2895,585
1237648721771954459,189.892956529462,0.0204688487321638,0.380161245974063,0.0177621883658987,6,1,1,20.93132,0.06425222,20.79792,0.02793743,20.30409,0.02838618,20.82458,0.05399023,20.35405,0.1268814,0.06779409,0.0528247,0.03654388,0.02715602,0.02019909,1.60145,3287789157849524224,1237648721771954459,NONLEGACY,GALAXY,STARBURST,0.3328408,9.976144E-06,0,54562,2920,587
1237648721788142150,226.92172993782,0.0162189611080334,0.296902203054695,0.0146658291680718,6,1,1,21.32425,0.08093508,20.96185,0.0331152,20.33624,0.02586937,20.54273,0.04446035,20.88586,0.2131509,0.2475066,0.1928554,0.1334165,0.09914276,0.073744,1.31502,4521646555963301888,1237648721788142150,QSO,GALAXY,STARBURST,0.2186784,9.185374E-06,0,55632,4016,118
1237648722298077312,165.31829936043,0.00867495850959567,0.804061943023479,0.00686313872089986,6,1,1,20.52237,0.04585795,20.28827,0.02105602,19.4507,0.01697691,19.91508,0.02890441,20.59299,0.1528352,0.1123468,0.0875399,0.06055969,0.04500234,0.03347348,1.249824,311998276142393344,1237648722298077312,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2128565,9.863353E-06,0,51908,277,451
1237648722298601552,166.601699897401,0.0932402262895615,0.7460672662322,0.0633614135093148,3,0,1,24.63482,0.5458701,25.08389,0.4698336,20.21626,0.5896289,18.99812,0.3358639,18.77928,3.671542,0.1916347,0.1493205,0.1032992,0.0767624,0.05709712,5.917599,313096138368509952,1237648722298601552,GALAXY,GALAXY,null,0.1618302,3.479624E-05,0,51900,278,349
1237649920574292130,10.2328733409905,0.00799783082809461,15.5636354636704,0.00751893279972369,3,1,1,19.45274,0.03433991,18.75364,0.02086971,17.86708,0.02027328,17.51147,0.0229848,17.43413,0.02114198,0.2764304,0.2153927,0.1490076,0.1107287,0.08236177,4.928569,470764180253730816,1237649920574292130,QSO,QSO,BROADLINE,0.09890411,2.600668E-05,0,51817,418,502
