objid,ra,raerr,dec,decerr,type,clean,mode,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,specObjID,bestObjID,Sourcetype,class,subclass,z,zerr,zwarning,mjd,plate,fiberID
1237678620101378325,358.141152564335,0.0291359478309559,3.33901861682743,0.0277866056989601,6,1,1,21.98109,0.229895,21.68415,0.06672226,20.98756,0.05330856,21.56658,0.1124645,21.52759,0.3160051,0.1771427,0.1380284,0.0954874,0.07095737,0.05277925,1.368705,9841605284027408384,1237678620101378325,QSO,GALAXY,STARBURST,0.2276746,8.742481E-06,0,57390,8741,415
1237678622239425241,27.7381242040843,0.0579089353700068,4.17501223439378,0.0670346211653288,6,1,1,23.29075,0.5613222,22.1742,0.09258687,21.95805,0.09500172,22.23232,0.1661869,21.52588,0.3718879,0.1428584,0.1113143,0.07700673,0.05722426,0.04256433,1.372814,9838270190583783424,1237678622239425241,QSO,GALAXY,null,0.343859,2.44335E-05,0,57402,8738,570
1237678661973114968,28.0321616560552,0.05182893240979,4.76321509594352,0.050510239860415,6,1,1,21.78958,0.2207887,21.45296,0.1006171,21.15719,0.1358908,21.50333,0.2331791,22.66931,1.134592,0.2243767,0.1748328,0.1209485,0.0898777,0.0668525,1.490038,9838287782769827840,1237678661973114968,QSO,GALAXY,STARBURST,0.1672951,1.059038E-05,0,57402,8738,634
1237678776863490400,350.830606931474,0.0582299118107911,4.22479434547698,0.0543643638963069,6,1,1,22.89549,0.5225994,21.30438,0.0556274,21.02501,0.06272637,21.34631,0.1235942,20.88725,0.3205441,0.2603014,0.2028251,0.1403134,0.1042679,0.07755618,1.574669,4824661519395430400,1237678776863490400,QSO,GALAXY,null,0.3576421,6.927689E-05,128,55881,4285,656
1237678776867553522,0.091389319547261,0.0535679788747018,4.42895021538834,0.0657094831145991,6,0,1,21.60548,0.1627664,21.44814,0.06013684,21.35027,0.09116331,21.66228,0.1723621,21.37781,0.4358442,0.1170536,0.09120741,0.06309687,0.04688773,0.03487586,1.635836,9840453820089344000,1237678776867553522,QSO,GALAXY,null,0.2445464,9.491619E-05,4,57367,8740,322
1237678879963087171,37.012674072629,0.0642480281959149,-2.74657713695655,0.0479474292436906,6,1,1,21.9507,0.2332582,22.05086,0.08935899,21.72827,0.08834571,21.92749,0.1487314,21.35077,0.3665276,0.1208124,0.09413621,0.06512299,0.04839336,0.03599577,2.970231,8873401731074990080,1237678879963087171,QSO,GALAXY,null,0.2859617,1.632823E-05,0,57282,7881,671
1237679169839301015,14.9173683754636,0.0800846905793974,18.1401042053077,0.0741769054749229,6,1,1,22.88927,0.4867786,22.14915,0.08172168,21.85253,0.1058028,22.20496,0.2441642,21.81577,0.4614064,0.2645353,0.2061241,0.1425957,0.1059639,0.07881768,1.366033,6423469628932988928,1237679169839301015,QSO,GALAXY,null,0.3297002,0.4454854,4,56194,5705,766
1237661125073109529,121.768340796614,0.0516131201311731,22.3343405097612,0.0549317064803445,6,1,1,21.2303,0.1023583,21.39675,0.05572106,21.10863,0.06052715,21.89963,0.1616118,20.81945,0.2532828,0.1669585,0.1300929,0.08999768,0.06687792,0.04974489,1.884443,5045353015210385408,1237661125073109529,QSO,GALAXY,STARBURST,0.3574615,1.1616E-05,0,55630,4481,711
1237661357545816254,189.699262828122,0.0924772070198248,47.6055223043495,0.0809183607645252,6,1,1,21.88425,0.1971159,22.34731,0.1065385,21.69402,0.0962823,22.14848,0.2019456,21.33921,0.4136441,0.07526884,0.05864897,0.04057309,0.03015015,0.02242617,2.212805,8353110072130248704,1237661357545816254,SEQUELS_TARGET,GALAXY,null,0.3191403,1.436281E-05,0,56811,7419,213
1237661360760291591,199.267731293154,0.0839757084274784,45.7683057818382,0.0765955644511721,6,1,1,22.21725,0.2744529,22.1424,0.08796821,21.50293,0.07818047,23.19203,0.6366534,21.50141,0.374201,0.07862153,0.06126136,0.04238033,0.03149312,0.0234251,1.731766,8340762006274416640,1237661360760291591,SEQUELS_TARGET,GALAXY,null,0.3453046,1.413365E-05,0,56780,7408,347
1237661966894629106,189.314323989763,0.0198788081297238,42.1683229944169,0.0191564017207972,6,1,1,21.17376,0.09681584,21.03231,0.03747077,20.64178,0.03694745,20.97694,0.05513019,20.28026,0.121008,0.07253393,0.05651794,0.03909885,0.02905464,0.02161131,1.278067,9440836321390075904,1237661966894629106,QSO,GALAXY,STARBURST,0.2777152,1.099423E-05,0,57511,8385,602
1237662195064045754,186.991545967472,0.0311566471245948,42.8025871325309,0.0252655526224338,6,1,1,21.75628,0.1661592,21.57142,0.05853599,20.87896,0.04012773,21.24822,0.07491818,20.84094,0.2255929,0.09006999,0.07018193,0.04855153,0.03607899,0.02683614,1.490237,9439750003935387648,1237662195064045754,QSO,GALAXY,STARBURST,0.3090032,1.239438E-05,0,57513,8384,746
1237662226215928033,187.860506489447,0.0246959383731894,40.9532165893605,0.0238703783885379,6,1,1,21.31321,0.1085881,21.10011,0.04149503,20.44096,0.03495429,20.75198,0.05449757,20.41158,0.1293576,0.1153871,0.08990888,0.06219855,0.04622019,0.03437933,1.48033,2233884978574288896,1237662226215928033,SERENDIPITY_DISTANT,GALAXY,STARFORMING,0.3196013,1.015287E-05,0,53433,1984,362
1237662305113604514,208.54969590479,0.0178991189224208,38.9433947851954,0.0185517672385155,6,1,1,21.91278,0.1093769,21.78485,0.05293084,20.99287,0.0344116,21.83305,0.09770169,22.03665,0.3679476,0.1114306,0.08682594,0.06006579,0.04463532,0.03320048,1.066318,9960837699987283968,1237662305113604514,QSO,GALAXY,null,0.2757078,1.399478E-05,0,57429,8847,4
1237663277921535175,345.835197339977,0.0830450922643546,0.455995299396853,0.0991403382552466,6,0,1,25.25841,0.5194308,25.18921,0.5013178,23.0455,0.4835745,24.6639,0.4943159,22.94338,0.5104072,0.1953541,0.1522186,0.1053041,0.07825223,0.05820528,0.5950966,4737943030517964800,1237663277921535175,NA,GALAXY,null,0.1786512,0.0001421926,5,55476,4208,568
1237663530258465358,122.790959279998,0.0591118431538454,51.455081687141,0.0550972129881596,6,1,1,22.81295,0.3289706,21.97712,0.07143147,21.82693,0.09754086,22.1073,0.1824637,21.95771,0.5849259,0.2253816,0.1756158,0.1214902,0.09028023,0.0671519,1.78603,4153624063644770304,1237663530258465358,QSO,GALAXY,null,0.1913161,0.0001401217,4,55180,3689,652
1237664834851045885,124.50082851101,0.00795152305205398,19.3027983702564,0.00811957888718855,3,1,1,21.4145,0.1010195,20.57308,0.03394322,19.32815,0.01623276,19.96946,0.0281651,18.95011,0.03652578,0.1987278,0.1548474,0.1071227,0.07960366,0.05921049,1.659946,2344256703291222016,1237664834851045885,SERENDIPITY_FIRST,QSO,AGN BROADLINE,0.3244201,2.962521E-05,0,53358,2082,484
1237665429164654740,197.843372495455,0.0119370798893148,29.6268368192513,0.0121006092708683,3,1,1,21.76303,0.1615141,21.12687,0.05830088,19.9493,0.03325324,20.30142,0.06815215,19.51227,0.0993585,0.04503125,0.03508804,0.02427375,0.018038,0.01341695,1.598264,2262074540467185664,1237665429164654740,ROSAT_D,QSO,AGN,0.2942741,1.631053E-05,0,53904,2009,515
1237665567158305551,247.844521797425,0.0142842747611882,12.8855509830491,0.0131516018108203,6,1,1,21.30598,0.09154256,21.04589,0.03409118,20.45951,0.02520533,20.80439,0.04516649,20.52262,0.122651,0.2326512,0.1812803,0.1254088,0.09319221,0.06931788,1.145431,4580263716725956608,1237665567158305551,QSO,GALAXY,STARBURST,0.2541458,8.961127E-06,0,55445,4068,374
1237666091129307416,18.1015182269495,0.0284780111056411,23.8183368423501,0.0285370787042748,6,1,1,22.25391,0.217016,21.66229,0.06472669,21.07161,0.06333338,21.48384,0.1219593,21.24605,0.2347614,0.2045592,0.1593911,0.1102661,0.0819395,0.06094793,1.302735,8648146704011337728,1237666091129307416,QSO,GALAXY,STARBURST,0.2795278,9.619247E-06,0,57042,7681,398
1237666213536923681,19.9819006692051,0.0262572646140175,23.032576332747,0.0244532845330936,6,1,1,21.72622,0.1220974,21.38688,0.0630061,20.87772,0.0637929,21.23043,0.1253779,20.3696,0.1382029,0.2456111,0.1913785,0.1323948,0.09838349,0.07317924,1.406338,8648049672110186496,1237666213536923681,QSO,GALAXY,STARBURST,0.3473431,1.181689E-05,0,57042,7681,45
1237666276350493064,24.2159548163954,0.0217128440453097,24.6471415735163,0.0206288132908518,6,1,1,22.06022,0.1857368,21.78476,0.0529029,20.89891,0.03708145,21.49361,0.08758134,20.4914,0.139657,0.5217798,0.4065672,0.2812613,0.2090073,0.155463,1.078202,8655020300365176832,1237666276350493064,QSO,GALAXY,STARBURST,0.3359752,1.481187E-05,0,57007,7687,828
1237667783909769730,188.1614561183,0.0414249191333489,23.3266464380474,0.040202547012711,6,1,1,21.91771,0.2004338,21.32198,0.05551497,20.96363,0.0723645,21.32772,0.08289529,20.91612,0.236436,0.0646492,0.05037422,0.03484865,0.02589628,0.01926208,1.536855,6736343361144201216,1237667783909769730,QSO,GALAXY,STARBURST,0.3225409,1.044394E-05,0,56310,5983,306
1237669697298563919,334.387205349628,0.0416829923333544,5.90516944133704,0.0406828391671525,6,1,1,23.42782,0.5742828,22.18233,0.08642818,21.90662,0.0831008,22.15021,0.1621551,21.99302,0.4534863,0.4468209,0.3481598,0.2408553,0.1789813,0.1331292,1.405029,4984392525156425728,1237669697298563919,QSO,GALAXY,null,0.1621627,0.000196472,4,56107,4427,122
1237678437015618088,37.9607745980705,0.0328964662326598,1.07642736225934,0.0319006525301041,6,1,1,21.6517,0.1170407,21.54707,0.0534959,21.04666,0.04511928,21.44811,0.08082065,20.73338,0.1441994,0.09844127,0.07670477,0.053064,0.03943224,0.02933034,1.383361,7172248867936641024,1237678437015618088,QSO_VAR_LF,GALAXY,STARBURST,0.287249,8.065126E-06,0,56238,6370,969
1237678789200904344,10.9210885508531,0.13139332203759,26.4844744285449,0.100390351436975,6,1,1,22.0768,0.2672439,21.8809,0.1394406,21.30386,0.1173802,21.99187,0.3936532,20.84988,0.3118732,0.1779317,0.1386432,0.09591272,0.07127343,0.05301434,2.380592,8639206030025138176,1237678789200904344,QSO,QSO,null,0.1133258,0.0001628259,4,57329,7673,640
1237679321785434461,30.0522822584859,0.095576174520094,-5.67240278059724,0.117623437104254,6,1,1,22.7629,0.4522216,21.93716,0.1112964,22.02896,0.1439017,22.30036,0.1919431,21.50887,0.424415,0.1146515,0.08933564,0.06180198,0.0459255,0.03416013,1.747267,4951845878761496576,1237679321785434461,QSO,QSO,null,0.2987642,0.0002315353,4,55946,4398,502
1237679503248327054,7.76231198691568,0.0491088904076651,19.7282502173004,0.0483913024624825,6,1,1,21.99366,0.2907,21.52774,0.07550376,20.84455,0.05410611,21.85233,0.1820316,21.56179,0.5813872,0.3010183,0.2345514,0.1622616,0.1205778,0.08968771,2.067227,8544525702942138368,1237679503248327054,QSO,GALAXY,STARBURST,0.317316,1.284766E-05,0,56946,7589,259
1237679503256387751,27.1665645415106,0.0596752347735748,18.3191863114497,0.0702641660667571,6,1,1,21.39318,0.1896504,21.21997,0.06117634,20.9164,0.06562609,21.44701,0.1386003,20.66517,0.2794619,0.1835503,0.1430211,0.09894136,0.07352404,0.05468838,2.242475,5767133199239979008,1237679503256387751,QSO,GALAXY,STARBURST,0.2909745,1.305498E-05,0,55841,5122,996
