SpecObjID,plate,fiberID,mjd,ra,dec,z,bpt,velStars,redshift,sigmaStars,sigmaStarsErr,chisq,ebmv,ebmv_err,Flux_OIII_5006,Flux_OIII_5006_Err,EW_OIII_5006,EW_OIII_5006_Err,AoN_OIII_5006,Flux_NII_6583,Flux_NII_6583_Err,Fit_Warning_NII_6583,AoN_NII_6583,Flux_Hb_4861,Flux_Hb_4861_Err,EW_Hb_4861,EW_Hb_4861_Err,Fit_Warning_Hb_4861,AoN_Hb_4861,Flux_Ha_6562,Flux_Ha_6562_Err,EW_Ha_6562,EW_Ha_6562_Err,AoN_Ha_6562
1471674923616331776,1307,450,52999,150.28711,11.001196,0.1492329,Seyfert,41790.7,0.1495824,255.6654,9.364333,0.8308575,0.05,0.002602695,1.498858,19.11226,0.05465617,0.6969331,0.356143,1.446328,19.49955,0,0.2755921,0,0,0,-9999,0,0,3.796143,10.46514,0.1278688,0.3525093,0.7251649
1472774711027984384,1308,355,53053,150.37183,10.948839,0.07881925,Star Forming,22819.05,0.07908791,60.57835,14.18772,0.9851636,0.1391833,0.008460024,14.62959,6.114428,0.7427655,0.3105481,2.008425,100.2384,5.767148,0,9.942268,86.22627,8.368133,5.005094,0.5029926,0,11.90673,283.7764,12.11316,16.6825,0.7461054,28.22681
5997893204434415616,5327,816,55979,150.40615,10.99042,0.281583,LINER,74448.16,0.2818858,231.8843,16.14768,0.835894,0.08252507,0.004959412,3.074729,7.813348,0.4124416,1.04809,1.129402,9.286598,4.668314,0,1.76715,4.712547,3.099995,0.6633141,0.436471,0,1.468176,2.344268,21.38509,0.2965546,2.70526,0.08550963
2193426798207854592,1948,632,53388,150.50913,34.701125,0.407121,BLANK,102501,0.4076288,76.29744,24.64766,1.323038,0.1263624,0.02260482,40.84927,7.161452,4.594814,0.8082052,3.174993,0,0,0,0,8.877806,4.158103,1.217144,0.5712389,0,1.109578,0,0,0,-9999,0
2196716537014937600,1951,312,53389,150.50913,34.701125,0.4071442,BLANK,102433.4,0.4073113,178.6946,37.56681,1.365752,0.07153716,0.02732003,26.30851,5.51019,4.114531,0.8702734,2.399887,21.15078,74.20441,0,1.132358,20.66338,17.07425,3.922845,3.244981,0,0.3883269,0,0,0,-9999,0
6522591704087457792,5793,922,56337,150.54868,34.670364,0.3661045,Seyfert,93568.42,0.3663059,286.2579,22.59206,0.8437215,0.05125502,0.01121863,2.602319,42.10189,0.4570376,7.394238,1.217207,3.661086,4.305882,0,0.7600034,0,0,0,-9999,0,0,2.417578,3.474329,0.4021084,0.5779311,0.8859277
2193428172597389312,1948,637,53388,150.5565,34.704912,0.3210242,Composite,83264.18,0.3201421,148.9269,119.1487,1.413201,0,0,278.7344,4.629387,141.0684,-9999,57.02581,78.6412,0,0,0.1110925,81.90771,3.304649,45.66109,-9999,0,16.0112,237.3188,9.554592,251.0321,-9999,44.48375
1526786295261587456,1356,240,53033,150.6619,39.357394,0.1422561,Composite,39946,0.1425305,101.1593,20.02478,0.9449161,0.08089445,0.0117651,7.530559,6.652651,1.011255,0.8935825,1.051453,21.23506,7.008252,0,1.556541,7.548504,7.196377,1.057623,1.008691,0,0.7993236,35.89231,5.915555,4.871637,0.8073105,3.575998
5142133677266497536,4567,541,55589,150.68841,39.295925,0.63103,BLANK,146743.7,0.6314744,228.6848,36.89844,1.235531,0.08804943,0.02376869,0,0,0,-9999,0,0,0,0,0,4.244757,2.933929,1.562295,1.080393,0,1.824337,0,0,0,-9999,0
1526783271604611072,1356,229,53033,150.71951,39.352628,0.06628775,LINER,19324.79,0.0665835,130.2092,4.702823,0.7987976,0.05,0.004317278,14.79635,8.638798,0.2686583,0.1569275,2.140933,10.87259,11.73225,0,1.261588,12.03493,8.801019,0.2307689,0.1688582,0,1.782462,6.646327,11.58252,0.1192524,0.2078307,0.7731442
1526785195749959680,1356,236,53033,150.73801,39.250292,0.1509676,Composite,42209.18,0.1511882,201.3179,14.78516,0.9234974,0.1449304,0.005936989,57.08042,15.84213,2.220226,0.6166916,2.756916,143.6604,13.67267,0,6.190812,71.58688,15.16138,3.009482,0.6412612,0,3.839744,238.6362,13.7227,9.949465,0.5896608,11.59828
5997905573940228096,5327,861,55979,150.71622,12.174612,0.4955804,LINER,120730.2,0.4958768,260.1642,57.08036,0.789,0.04913696,0.02739417,0.3913355,4.728485,0.223446,2.699906,0.2074199,2.46682,6.692967,0,1.092336,0.09338887,18.54364,0.05630116,11.17937,0,0.03752015,1.415146,16.63356,0.8029838,9.438313,0.636185
5998878916659048448,5328,306,55982,150.72017,12.270712,0.861176,BLANK,186226.6,0.8611322,387.0215,143.7317,0.7457626,0.1175153,0.00514684,156.155,41.27433,8.45693,2.236231,0.4951167,0,0,0,0,197.3002,19.75343,11.7926,1.185446,0,1.522165,0,0,0,-9999,0
5998875893002072064,5328,295,55982,150.72892,12.184775,0.4829839,Seyfert,118262.4,0.4836138,122.7978,23.01114,1.032221,0.1587108,0.0153054,71.56464,7.116309,13.55564,1.357875,6.631951,48.03919,11.80082,0,2.844408,9.51897,4.758728,1.913598,0.9574794,0,0.6232119,24.27941,10.6449,4.96827,2.179755,2.883667
5998876992513699840,5328,299,55982,150.74988,12.161399,0.4884332,Seyfert,119297,0.4887427,209.2513,19.03531,0.8861687,0.1104301,0.01045714,10.42641,7.53523,1.46966,1.062331,0.3238465,0,0,0,0,0.2049494,169.1762,0.03052035,25.19312,0,0.004774438,3.82353,4.253649,0.5437675,0.6049788,0.9601024
5997919317835575296,5327,911,55979,150.76512,12.161596,0.4234086,Star Forming,105919.4,0.4237713,166.6466,36.89534,0.851002,0.09040584,0.01967482,0.1180847,14.56042,0.04968511,6.12642,0.03779668,4.913745,10.60849,0,1.752226,6.046676,3.983206,2.659945,1.753281,0,0.9083871,12.5074,4.875695,4.95822,1.935364,3.459369
5997921516858830848,5327,919,55979,150.76735,12.191208,0.4889359,Star Forming,119422.5,0.4893662,242.6573,47.52936,0.8464202,0.04032169,0.02133126,5.897758,4.498145,2.54763,1.946668,0.2911181,0,0,0,0,4.142648,2.820496,1.89176,1.291026,0,1.973258,2.148416,3.352832,0.9402022,1.46797,0.6287768
